"UC Tag","Requirement text","Name","Property"
"UC1","System pozwala na przypisanie pracownika do projektu","Przydzielenie pracownika do projektu","Name"
"UC2","System pozwala na wyswietlenie pracownikow przydzielonych do projektu","Sprawdzenie przynaleznosci do projektu","Name"
"UC3","System pozwala na stworzenie projektow","Stworzenie projektu","Name"
"UC4","","Dodanie nowego zadania","Name"
"UC5","","Zmiana/usuniecie zadania","Name"
"UC6","","Raportowanie czasu pracy","Name"
"UC7","","Wyswietlenie listy projektow","Name"
"UC8","","Zamkniecie projektu","Name"
"UC9","","Usuniecie pracownika z projektu","Name"
"UC10","","Wyswietlenie zadan","Name"
"UC11","","Uwierzytelnienie uzytkownika w systemie","Name"
"UC12","","Sprawdzenie postepu prac uzytkownika","Name"
"UC13","","Wygenerowanie raportu o postepie prac","Name"
"UC14","Uzytkownik moze zamknac zadanie, jezeli praca nad zadaniem zostala wykonana w 100%","Zakonczenie zadania","Name"
"UC15","","Uruchomnienie pomocy systemu","Name"
"UC16","","Back-up systemu","Name"
"UC17","","Zaczytanie back-upu","Name"
