"UC -- FEAT Traceability Matrix ","FEAT1: Importowanie postepow prac do PDF: System zapewnia automatyczne importowanie postepow prac do plikow PDF","FEAT2: Obsluga przegladarek: System oblsuguje trzy przegladarki: Internet Explorer wersja 4 i wyzej, Firefox 10, Chrome 17","FEAT3: Zarzadzanie wieloma projektami: System pozwala zarzadzac wieloma projektami przy pojedynczym zalogowaniu","FEAT4: Rozwoj oprogramowania: Systme pozwala dodawac latki oraz patche do istniejacej instalacji","FEAT5: Pomoc dla uzytkownika: System udostepnia dokumenty pomocy dla uzytkownika wraz z najczesciej zadawanymi pytaniami","FEAT6: Logowanie SSL: System zapewnia uzytkownikom uwierzytelnienie poprzez strone internetowa uzywajac szyfrowanego polaczenia SSL ze 128 bitowym kluczem","FEAT7: Baza danych: System przechowuje wszelkie informacje o uzytkownikach oraz projektach w autonomicznej bazie danych","FEAT8: Wsparcie systemów operacyjnych: System dzia³a na systemie operacyjnym Windows Server 2008R2","FEAT9: Bezpieczenstwo danych: System pozwala na zastosowanie technik back-upu do tworzenia kopii zapasowych oraz pozwala odtworzyc ustawienia systemu"
"UC1: Przydzielenie pracownika do projektu: System pozwala na przypisanie pracownika do projektu","","","T","","","","","",""
"UC2: Sprawdzenie przynaleznosci do projektu: System pozwala na wyswietlenie pracownikow przydzielonych do projektu","","","T","","","","","",""
"UC3: Stworzenie projektu: System pozwala na stworzenie projektow","","","T","","","","","",""
"UC4: Dodanie nowego zadania: ","","","T","","","","","",""
"UC5: Zmiana/usuniecie zadania: ","","","T","","","","","",""
"UC6: Raportowanie czasu pracy: ","","","T","","","","","",""
"UC7: Wyswietlenie listy projektow: ","","","T","","","","","",""
"UC8: Zamkniecie projektu: ","","","T","","","","","",""
"UC9: Usuniecie pracownika z projektu: ","","","T","","","","","",""
"UC10: Wyswietlenie zadan: ","","","T","","","","","",""
"UC11: Uwierzytelnienie uzytkownika w systemie: ","","","","","","T","","",""
"UC12: Sprawdzenie postepu prac uzytkownika: ","T","","T","","","","","",""
"UC13: Wygenerowanie raportu o postepie prac: ","T","","","","","","","",""
"UC14: Zakonczenie zadania: Uzytkownik moze zamknac zadanie, jezeli praca nad zadaniem zostala wykonana w 100%","","","T","","","","","",""
"UC15: Uruchomnienie pomocy systemu: ","","","","","T","","","",""
"UC16: Back-up systemu: ","","","","","","","","","T"
"UC17: Zaczytanie back-upu: ","","","","","","","","","T"
